siteid,CBox,CBox_and_DVR,CBox_and_DVR_hourly,CBox_and_DVR_hourly_weekday,CBox_and_DVR_hourly_weekend,CBox_and_DVR_monthly,CBox_hourly,CBox_monthly,CPU,CPU_hourly,CPU_monthly,Comp,Comp_hourly,Comp_monthly,Cwash,Cwash_hourly,Cwash_hourly_weekday,Cwash_hourly_weekend,Cwash_monthly,DHW,DHW_g_hourly_weekday,DHW_g_hourly_weekend,DHW_g_monthly,DHW_hourly,DHW_hourly_weekday,DHW_hourly_weekend,DHW_monthly,DVD,DVD_hourly,DVD_hourly_weekday,DVD_hourly_weekend,DVD_monthly,Dryer,Dryer_hourly,Dryer_hourly_weekday,Dryer_hourly_weekend,Dryer_monthly,Dwash,Dwash_hourly,Dwash_hourly_weekday,Dwash_hourly_weekend,Dwash_monthly,Freezer,Freezer_hourly,Freezer_monthly,Game_cons,Game_cons_hourly,Game_cons_hourly_weekday,Game_cons_hourly_weekend,Game_cons_monthly,Oven,Oven_hourly,Oven_hourly_weekday,Oven_hourly_weekend,Oven_monthly,Refrig,Refrig_hourly,Refrig_monthly,Service,Service_daily_elec,Service_daily_gas,Service_hourly,Service_hourly_weekday,Service_hourly_weekday_elec,Service_hourly_weekday_gas,Service_hourly_weekend,Service_hourly_weekend_elec,Service_hourly_weekend_gas,Service_monthly,Service_monthly_elec,Service_monthly_gas,Stereo,Stereo_hourly,Stereo_hourly_weekday,Stereo_hourly_weekend,Stereo_monthly,TV,TV_hourly,TV_hourly_weekday,TV_hourly_weekend,TV_monthly
10040,1,0,0,0,0,0,1,1,3,3,3,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
10388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
10887,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
11418,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
11775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
12063,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
12507,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
12975,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
12994,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
13019,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,1,,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,2,2,2,2,2
